status,title,artist,video_id,youtube_title,channel,length,score,query,url
matched,全因為祢,ACM HKACM,B9428ybwFCY,全因為祢（官方歌詞版MV） - 鄧婉玲,永恆音樂事工 Eternity Music Ministry,2:45,120,manual,https://www.youtube.com/watch?v=B9428ybwFCY
matched,愛是不保留,基恩敬拜 Amazing Grace Worship,sXca2wmw7Sk,《Worship From Home 微敬拜》系列 EP2 詩歌《愛是不保留》,Home Of Artists HK 藝人之家,4:12,112,愛是不保留 基恩敬拜 Amazing Grace Worship 官方 詩歌,https://www.youtube.com/watch?v=sXca2wmw7Sk
matched,讚美之泉,讚美之泉 Stream of Praise,x-DysGdCg4k,【讚美之泉 Stream of Praise】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (1),讚美之泉 Stream Of Praise Music Ministries,5:25,124,讚美之泉 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=x-DysGdCg4k
matched,耶和華祝福滿滿,讚美之泉 Stream of Praise,n1bDbq5X6Is,【耶和華祝福滿滿 Jehovah's Blessings Abound - 2001弦樂版】官方歌詞版MV (Official Lyrics MV) - 讚美之泉台語敬拜讚美 (1),讚美之泉 Stream Of Praise Music Ministries,5:32,124,耶和華祝福滿滿 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=n1bDbq5X6Is
matched,彩虹下的約定,讚美之泉 Stream of Praise,cyo4B6MsK3g,【彩虹下的約定 The Covenant Under the Rainbow】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (4),讚美之泉 Stream Of Praise Music Ministries,3:59,124,彩虹下的約定 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=cyo4B6MsK3g
matched,生命的凱歌,讚美之泉 Stream of Praise,ivPWBePtk2Y,【生命的凱歌 Victorious Life】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (2),讚美之泉 Stream Of Praise Music Ministries,5:04,124,生命的凱歌 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=ivPWBePtk2Y
matched,祢是我生命的亮光,讚美之泉 Stream of Praise,W2GPoBX3N3w,诗歌敬拜 | 詩歌敬拜-你是我生命的亮光| -回家專輯：《我心旋律》,颂赞诗歌 | 頌讚詩歌,5:29,100,祢是我生命的亮光 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=W2GPoBX3N3w
matched,全能的創造主,讚美之泉 Stream of Praise,z4H3FhcvduY,【全能的創造主 Wonderful Creator】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (6),讚美之泉 Stream Of Praise Music Ministries,5:05,124,全能的創造主 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=z4H3FhcvduY
matched,祢是信實的上帝,讚美之泉 Stream of Praise,C6HSl4Nhgdg,【祢是信實的上帝 You Are A Faithful God】官方歌詞版MV (Official Lyrics MV) - 讚美之泉台語敬拜讚美 (1),讚美之泉 Stream Of Praise Music Ministries,3:32,124,祢是信實的上帝 讚美之泉 Stream of Praise 敬拜,https://www.youtube.com/watch?v=C6HSl4Nhgdg
matched,我們愛讓世界不一樣,讚美之泉 Stream of Praise,fUijjKO3lYU,【我們愛 (讓世界不一樣) We Will Love (We Can Make a Difference)】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (13),讚美之泉 Stream Of Praise Music Ministries,5:17,124,我們愛讓世界不一樣 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=fUijjKO3lYU
matched,你愛永不變,讚美之泉 Stream of Praise,U_D3qRW-M9A,【我對祢的愛永不變 My Love for You Will Never Change】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (4),讚美之泉 Stream Of Praise Music Ministries,5:03,86,你愛永不變 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=U_D3qRW-M9A
matched,主祢是我力量,讚美之泉 Stream of Praise,4Of5ajwoCxQ,【主祢是我力量 You Are My Strength】敬拜MV - 讚美之泉兒童敬拜讚美 (6),讚美之泉 Stream Of Praise Music Ministries,3:12,124,主祢是我力量 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=4Of5ajwoCxQ
matched,每一天我需要祢,讚美之泉 Stream of Praise,IBeDhW5uET0,【每一天我需要祢 I Need You】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (21),讚美之泉 Stream Of Praise Music Ministries,5:50,124,每一天我需要祢 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=IBeDhW5uET0
matched,展開清晨的翅膀,讚美之泉 Stream of Praise,xugw9VE0pjc,【展開清晨的翅膀 Wings of the Dawn】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (7),讚美之泉 Stream Of Praise Music Ministries,5:23,124,展開清晨的翅膀 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=xugw9VE0pjc
matched,祢的愛不離不棄,讚美之泉 Stream of Praise,-kHB_L11P_U,你的愛不離不棄,777Worship 完全的敬拜 | 敬拜中裡合一 | Unity in Worship,6:03,100,祢的愛不離不棄 讚美之泉 Stream of Praise 官方 詩歌,https://www.youtube.com/watch?v=-kHB_L11P_U
