status,decade,title,artist,year,video_id,youtube_title,channel,length,score,url
matched,80s,Monica,張國榮,1984,w3N5tisg20I,Monica | 張國榮 Leslie Cheung | Official Music Video | 詞：黎彼得   | 曲：NOBODY,華星唱片 Capital Artists Official Channel,3:39,124,https://www.youtube.com/watch?v=w3N5tisg20I
matched,80s,風繼續吹,張國榮,1983,UmTB6E5mU5w,風繼續吹| 電影《縱橫四海》主題曲 | 張國榮 Leslie Cheung | Official Music Video | 曲：Uzaki Ryudo | 詞：Aki Yoko,華星唱片 Capital Artists Official Channel,5:19,116,https://www.youtube.com/watch?v=UmTB6E5mU5w
matched,80s,為你鍾情,張國榮,1985,lkd06VLJGQg,為妳鍾情 | 張國榮 Leslie Cheung | Official Music Video | 曲：王正宇 | 詞：黃霑,華星唱片 Capital Artists Official Channel,4:04,124,https://www.youtube.com/watch?v=lkd06VLJGQg
matched,80s,不羈的風,張國榮,1985,hEofxPB73Is,不羈的風  | 張國榮 Leslie Cheung | Official Music Video | 曲：大安管志幸 | 詞：林振強,華星唱片 Capital Artists Official Channel,3:48,124,https://www.youtube.com/watch?v=hEofxPB73Is
matched,80s,當年情,張國榮,1986,hCxE724_aWk,【TVB十大勁歌金曲1986】當年情 | 張國榮 Leslie Cheung | 頒獎及演唱 |電影《英雄本色》 主題曲 | 詞：黃霑      | 曲：顧嘉煇,華星唱片 Capital Artists Official Channel,7:56,124,https://www.youtube.com/watch?v=hCxE724_aWk
matched,80s,有誰共鳴,張國榮,1986,9b1vv1kWYc4,有誰共鳴 | 張國榮 Leslie Cheung | Official Music Video | 曲：谷村新司 | 詞：小美,華星唱片 Capital Artists Official Channel,3:59,124,https://www.youtube.com/watch?v=9b1vv1kWYc4
matched,80s,無心睡眠,張國榮,1987,57k7Q4NZHEY,張國榮 無心睡眠 MV 1987年,Theme MV,3:21,124,https://www.youtube.com/watch?v=57k7Q4NZHEY
matched,80s,共同渡過,張國榮,1987,ftOBb10VFDg,Leslie 張國榮 - 共同渡過,音樂無疆界 Music Without Boundaries,4:08,106,https://www.youtube.com/watch?v=ftOBb10VFDg
matched,80s,沉默是金,張國榮 許冠傑,1988,7bl9bA7A0OM,沉默是金 MV ( 張國榮 許冠傑 ) [Silence Is Gold] [Im Lặng Là Vàng],Tuyet Tinh Phap,4:03,116,https://www.youtube.com/watch?v=7bl9bA7A0OM
matched,80s,偏偏喜歡你,陳百強,1983,RmTAUDlcPSk,陳百強 Danny Chan -《偏偏喜歡你》 Official MV,Timeless Music Hong Kong天碟,3:23,116,https://www.youtube.com/watch?v=RmTAUDlcPSk
matched,80s,今宵多珍重,陳百強,1982,7Fu9DJGRU8Y,陳百強 Danny Chan -《今宵多珍重》Official MV,Timeless Music Hong Kong天碟,3:22,116,https://www.youtube.com/watch?v=7Fu9DJGRU8Y
matched,80s,漣漪,陳百強,1982,YQ5fU_8JEgs,陳百強《漣漪》MV 1982,ymkit DC,3:03,124,https://www.youtube.com/watch?v=YQ5fU_8JEgs
matched,80s,一生何求,陳百強,1989,lTraAPROJr0,陳百強 一生何求MV,Ellen L 1996,4:23,124,https://www.youtube.com/watch?v=lTraAPROJr0
matched,80s,等,陳百強,1985,ByEv5YjGHII,陳百強 Danny Chan -《等》Official MV（電影《聖誕快樂》插曲）,Timeless Music Hong Kong天碟,3:54,116,https://www.youtube.com/watch?v=ByEv5YjGHII
matched,80s,盼望的緣份,陳百強,1984,jQ9Rbf_MzZU,陳百強《盼望的緣份》MV 1985,ymkit DC,3:37,124,https://www.youtube.com/watch?v=jQ9Rbf_MzZU
matched,80s,愛在深秋,譚詠麟,1984,YcSPYcouAlE,Alan Tam 譚詠麟 '愛在深秋' MV,universalmusichk,4:11,124,https://www.youtube.com/watch?v=YcSPYcouAlE
matched,80s,霧之戀,譚詠麟,1984,4wL1r702Ct8,譚詠麟 ~ 霧之戀《陳秀珠主演》【Music Video 】,637 TWS,4:21,124,https://www.youtube.com/watch?v=4wL1r702Ct8
matched,80s,愛情陷阱,譚詠麟,1985,v0SpDF7BnUg,譚詠麟 ~ 愛情陷阱【Music Video 】,637 TWS,3:44,124,https://www.youtube.com/watch?v=v0SpDF7BnUg
matched,80s,朋友,譚詠麟,1985,DkDPEXyMOi8,朋友 (電影《龍兄虎弟》歌曲),譚詠麟 Alan Tam,4:46,124,https://www.youtube.com/watch?v=DkDPEXyMOi8
matched,80s,雨夜的浪漫,譚詠麟,1985,IebV0N1-DGI,譚詠麟 ~ 雨夜的浪漫【Music Video 】,637 TWS,4:20,124,https://www.youtube.com/watch?v=IebV0N1-DGI
matched,80s,半夢半醒,譚詠麟,1988,MYJ31u6q2hI,譚詠麟 - 《半夢半醒之間》MV,譚詠麟 Alan Tam,3:51,124,https://www.youtube.com/watch?v=MYJ31u6q2hI
matched,80s,水中花,譚詠麟,1988,6LJ2mJU4BpI,譚詠麟 - 水中花,譚詠麟 Alan Tam,4:09,106,https://www.youtube.com/watch?v=6LJ2mJU4BpI
matched,80s,幻影,譚詠麟,1984,I8AaTbDbhwo,譚詠麟《幻影》(歌词MV),Cat Music&懒猫音乐作坊,4:29,124,https://www.youtube.com/watch?v=I8AaTbDbhwo
matched,80s,無言感激,譚詠麟,1986,0H31JX11GbU,譚詠麟 無言感激,Published Television mv,4:59,124,https://www.youtube.com/watch?v=0H31JX11GbU
matched,80s,遙遠的她,張學友,1986,Pc6ZY2yLhIw,張學友 ~ 遙遠的她【Music Video 】,637 TWS,4:17,124,https://www.youtube.com/watch?v=Pc6ZY2yLhIw
matched,80s,月半彎,張學友,1985,Plcg-ysJ6i4,張學友 ~ 月半彎 【Music Video 】,637 TWS,3:43,124,https://www.youtube.com/watch?v=Plcg-ysJ6i4
matched,80s,Smile Again 瑪莉亞,張學友,1985,wcvWg8eSunA,張學友 ~ Smile Again瑪莉亞&輕撫你的臉【寶麗金15週年演唱會 】,637 TWS,3:40,116,https://www.youtube.com/watch?v=wcvWg8eSunA
matched,80s,太陽星辰,張學友,1986,xkWYCgAORpU,張學友 ~ 太陽星辰【Music Video 】,637 TWS,4:25,124,https://www.youtube.com/watch?v=xkWYCgAORpU
matched,80s,情已逝,張學友,1985,YVRIAZgyLg8,張學友【情已逝 1985】(歌詞MV)(1080p)(作曲：來生孝夫)(填詞：潘源良)(Jacky Cheung),沿途有你 2,4:49,124,https://www.youtube.com/watch?v=YVRIAZgyLg8
matched,80s,夕陽之歌,梅艷芳,1989,Rh-gxRXSIdU,梅艷芳【夕陽之歌 1989】(歌詞MV)(1080p)(填詞：陳少琪)電影《英雄本色3之夕陽之歌》主題曲,沿途有你 2,5:13,124,https://www.youtube.com/watch?v=Rh-gxRXSIdU
matched,80s,似水流年,梅艷芳,1985,fiVyueZ8Fp4,梅艷芳【似水流年 1985】(歌詞MV)(1080p)(作曲：喜多郎)(填詞：鄭國江)電影《似水流年》主題曲,沿途有你 2,3:17,124,https://www.youtube.com/watch?v=fiVyueZ8Fp4
matched,80s,夢伴,梅艷芳,1985,E2FQx9Q4U1U,梅艷芳 ~ 夢伴【Music Video 】,637 TWS,3:12,124,https://www.youtube.com/watch?v=E2FQx9Q4U1U
matched,80s,壞女孩,梅艷芳,1985,lh5QmOjN7Gc,【TVB十大勁歌金曲1985】壞女孩 | 梅艷芳 Anita Mui | 頒獎及演唱 | 作詞：林振強     作曲：C Dore/J Littman,華星唱片 Capital Artists Official Channel,3:55,124,https://www.youtube.com/watch?v=lh5QmOjN7Gc
matched,80s,胭脂扣,梅艷芳,1987,XKvKbRZJu8E,梅艷芳【胭脂扣 1987】(歌詞MV)(1080p)(作曲：黎小田)(填詞：鄧景生)電影『胭脂扣』主題曲(Rouge),沿途有你 2,2:15,124,https://www.youtube.com/watch?v=XKvKbRZJu8E
matched,80s,將冰山劈開,梅艷芳,1986,1gwIXaNV9PU,Anita Mui 梅艷芳 - 將冰山劈開【字幕歌詞】Cantonese Jyutping Lyrics I 1986年《妖女》專輯,NKstudio73,5:47,106,https://www.youtube.com/watch?v=1gwIXaNV9PU
matched,80s,赤的疑惑,梅艷芳,1983,jI8gTzJ-gDQ,梅艷芳 ~ 赤的疑惑【Music Video 】 【 配音日劇[赤的疑惑]主題曲】,637 TWS,3:16,124,https://www.youtube.com/watch?v=jI8gTzJ-gDQ
matched,80s,真的愛你,Beyond,1989,n8aK_IUna_Y,Beyond - 真的愛你 (Official Music Video),Beyond,4:22,124,https://www.youtube.com/watch?v=n8aK_IUna_Y
matched,80s,大地,Beyond,1988,VVnCrqs07l0,Beyond  大地（國語版）  MV,經典回聲,4:15,124,https://www.youtube.com/watch?v=VVnCrqs07l0
matched,80s,喜歡你,Beyond,1988,U-bvp_hsinw,Beyond - 喜歡妳 (Official Music Video),Beyond,4:31,124,https://www.youtube.com/watch?v=U-bvp_hsinw
matched,80s,舊日的足跡,Beyond,1986,tFc6krvM51A,Beyond - 舊日的足跡 (Official Music Video),Beyond,5:03,124,https://www.youtube.com/watch?v=tFc6krvM51A
matched,80s,冷雨夜,Beyond,1988,XtJvmzcCu1A,Beyond - 冷雨夜 (Official Music Video),Beyond,6:07,124,https://www.youtube.com/watch?v=XtJvmzcCu1A
matched,80s,石頭記,達明一派,1987,4alhlTQselk,達明一派 石頭記,kira chau,5:00,106,https://www.youtube.com/watch?v=4alhlTQselk
matched,80s,禁色,達明一派,1988,bkrVqjBJ_HQ,1988 達明一派 禁色 MV,AnthonyWong archive,4:16,124,https://www.youtube.com/watch?v=bkrVqjBJ_HQ
matched,80s,傾心,Raidas,1987,nuPaLeNmUpw,Raidas ~ 傾心 【Music Video 】,637 TWS,3:43,124,https://www.youtube.com/watch?v=nuPaLeNmUpw
matched,80s,分分鐘需要你,林子祥,1980,0OeZuH7-NZw,林子祥【分分鐘需要你 1980】(歌詞MV)(1080p)(作曲：林子祥)(填詞：鄭國江)(George Lam),沿途有你 2,3:04,124,https://www.youtube.com/watch?v=0OeZuH7-NZw
matched,80s,每一個晚上,林子祥,1984,Y8tp91Rwn2o,林子祥 George Lam -《每一個晚上》Official Audio｜林子祥創作歌集 全碟聽 9/12,Timeless Music Hong Kong天碟,4:20,116,https://www.youtube.com/watch?v=Y8tp91Rwn2o
matched,80s,千億個夜晚,林子祥,1986,rIxKTibPEZ4,林子祥  ~ 千億個夜晚【Music Video 】,637 TWS,5:19,124,https://www.youtube.com/watch?v=rIxKTibPEZ4
matched,80s,敢愛敢做,林子祥,1987,HGmTVMZR0hE,林子祥 George Lam -《敢愛敢做》Official Audio｜花街70號 全碟聽 1/12,Timeless Music Hong Kong天碟,5:01,116,https://www.youtube.com/watch?v=HGmTVMZR0hE
