status,oldNumber,newBucket,title,videoId,viewCount,oldCategory,newCategory,language,year,yearConfidence
verified-era,POP-001,80年代流行曲,Monica,w3N5tisg20I,2721702,80年代流行曲,80年代流行曲,粵語,1984,hint-year
verified-era,POP-002,80年代流行曲,風繼續吹,UmTB6E5mU5w,3421893,80年代流行曲,80年代流行曲,粵語,1983,hint-year
verified-era,POP-003,80年代流行曲,為你鍾情,lkd06VLJGQg,519335,80年代流行曲,80年代流行曲,粵語,1985,hint-year
verified-era,POP-004,80年代流行曲,不羈的風,hEofxPB73Is,936360,80年代流行曲,80年代流行曲,粵語,1985,hint-year
verified-era,POP-005,80年代流行曲,有誰共鳴,9b1vv1kWYc4,5380944,80年代流行曲,80年代流行曲,粵語,1986,hint-year
verified-era,POP-006,80年代流行曲,沉默是金,7bl9bA7A0OM,3399897,80年代流行曲,80年代流行曲,粵語,1988,hint-year
verified-era,POP-007,80年代流行曲,偏偏喜歡你,RmTAUDlcPSk,21925461,80年代流行曲,80年代流行曲,粵語,1983,hint-year
verified-era,POP-008,80年代流行曲,今宵多珍重,7Fu9DJGRU8Y,11974109,80年代流行曲,80年代流行曲,粵語,1982,hint-year
verified-era,POP-009,80年代流行曲,愛情陷阱,DXo7zqbeY9Y,1540832,80年代流行曲,80年代流行曲,粵語,1985,title-match
verified-era,POP-010,80年代流行曲,朋友,DkDPEXyMOi8,2468940,80年代流行曲,80年代流行曲,粵語,1985,hint-year
verified-era,POP-011,80年代流行曲,真的愛你,n8aK_IUna_Y,1510718,80年代流行曲,80年代流行曲,粵語,1989,hint-year
verified-era,POP-012,80年代流行曲,喜歡你,U-bvp_hsinw,3557838,80年代流行曲,80年代流行曲,粵語,1988,hint-year
verified-era,POP-013,80年代流行曲,舊日的足跡,tFc6krvM51A,746276,80年代流行曲,80年代流行曲,粵語,1986,hint-year
verified-era,POP-014,80年代流行曲,冷雨夜,XtJvmzcCu1A,3130769,80年代流行曲,80年代流行曲,粵語,1988,hint-year
verified-era,POP-015,80年代流行曲,石頭記,4alhlTQselk,4285022,80年代流行曲,80年代流行曲,粵語,1987,hint-year
verified-era,POP-016,80年代流行曲,傾心,nuPaLeNmUpw,632895,80年代流行曲,80年代流行曲,粵語,1987,hint-year
verified-era,POP-017,80年代流行曲,分分鐘需要你,0OeZuH7-NZw,563552,80年代流行曲,80年代流行曲,粵語,1980,hint-year
verified-era,POP-018,80年代流行曲,每一個晚上,Y8tp91Rwn2o,860837,80年代流行曲,80年代流行曲,粵語,1984,hint-year
verified-era,POP-019,80年代流行曲,敢愛敢做,HGmTVMZR0hE,3138456,80年代流行曲,80年代流行曲,粵語,1987,hint-year
verified-era,POP-020,80年代流行曲,真的漢子,l4qCBKuS0Bc,2247556,80年代流行曲,80年代流行曲,粵語,1988,hint-year
verified-era,POP-021,90年代流行曲,海闊天空,qu_FSptjRic,173786139,80年代流行曲,90年代流行曲,粵語,1993,manual-title
era-unverified,POP-022,年代未核實,至少還有你,pQlAWZLOpgo,41074900,80年代流行曲,年代未核實,粵語,,unknown
era-unverified,POP-023,年代未核實,瀟灑走一回,KZ8Hxm2W5Ts,34935896,80年代流行曲,年代未核實,粵語,,unknown
era-unverified,POP-024,年代未核實,曾經心痛,RiGdxI6HNnQ,28894891,80年代流行曲,年代未核實,粵語,,unknown
verified-era,POP-025,90年代流行曲,當愛已成往事,IKA47rEDVSs,20133141,80年代流行曲,90年代流行曲,國語,1993,video-id-match
era-unverified,POP-026,年代未核實,朋友別哭,UOrGX49N2aU,18862877,80年代流行曲,年代未核實,粵語,,unknown
verified-era,POP-027,90年代流行曲,聽說愛情回來過,qSnSCOMVSYQ,18144054,80年代流行曲,90年代流行曲,國語,1995,video-id-match
era-unverified,POP-028,年代未核實,用餘生去愛,SY2SDAAFvWg,14081405,80年代流行曲,年代未核實,粵語,,unknown
era-unverified,POP-029,年代未核實,不裝飾你的夢,v-YeIjY2LVg,12816050,80年代流行曲,年代未核實,粵語,,unknown
verified-era,POP-030,90年代流行曲,今生今世,6jRNbtNy1K4,12811991,80年代流行曲,90年代流行曲,粵語,1995,video-id-match
era-unverified,POP-031,年代未核實,嫁給我,sTE21SU3TVM,12737347,80年代流行曲,年代未核實,國語,,unknown
era-unverified,POP-032,年代未核實,愛的可能,u20h020vkE8,11190758,80年代流行曲,年代未核實,粵語,,unknown
era-unverified,POP-033,年代未核實,女人花,HZf26r_DplA,9995746,80年代流行曲,年代未核實,國語,,unknown
era-unverified,POP-034,年代未核實,無心傷害,u650A5w7Ka0,9544588,80年代流行曲,年代未核實,國語,,unknown
era-unverified,POP-035,年代未核實,让一切随风,lz-e0NWIj88,8998276,80年代流行曲,年代未核實,國語,,unknown
era-unverified,POP-036,年代未核實,領悟,wa-HGDSFddw,8916284,80年代流行曲,年代未核實,國語,,unknown
era-unverified,POP-037,年代未核實,大海,uxNs7uBl7O8,8876342,80年代流行曲,年代未核實,粵語,,unknown
era-unverified,POP-038,年代未核實,男兒當自強,U_EgeFUTbW4,8405833,80年代流行曲,年代未核實,粵語,,unknown
era-unverified,POP-039,年代未核實,脫掉,bqWfosgn_QI,8220382,80年代流行曲,年代未核實,國語,,unknown
era-unverified,POP-040,年代未核實,暗里着迷,imPWMzs0Yv4,7863641,80年代流行曲,年代未核實,國語,,unknown
era-unverified,POP-041,年代未核實,蔡楓華,K96zOesFccY,7233393,80年代流行曲,年代未核實,粵語,,unknown
era-unverified,POP-042,年代未核實,回頭太難,6oScrw8ubPk,7105887,80年代流行曲,年代未核實,粵語,,unknown
verified-era,POP-043,90年代流行曲,有心人,V7Xzwpdffeg,6946034,80年代流行曲,90年代流行曲,粵語,1996,video-id-match
verified-era,POP-044,90年代流行曲,灰色轨迹,8F_91_S5Sno,6823037,80年代流行曲,90年代流行曲,粵語,1990,manual-title
era-unverified,POP-045,年代未核實,一生所愛,pAse1VuvcOE,6730559,80年代流行曲,年代未核實,國語,,unknown
era-unverified,POP-046,年代未核實,夜機,oLCHgT4gyjg,6667540,80年代流行曲,年代未核實,粵語,,unknown
era-unverified,POP-047,年代未核實,我醒著做夢,hER7WMTmAoE,6338315,80年代流行曲,年代未核實,粵語,,unknown
era-unverified,POP-048,年代未核實,聽不到的說話,Qd1vbVBu5lQ,5949337,80年代流行曲,年代未核實,粵語,,unknown
era-unverified,POP-049,年代未核實,飄雪,oGTEVhr6-5E,5940059,80年代流行曲,年代未核實,粵語,,unknown
era-unverified,POP-050,年代未核實,皇后大道東,av1-_SjPb2E,5879074,80年代流行曲,年代未核實,國語,,unknown
era-unverified,POP-051,年代未核實,不再猶豫,fKKgY7BXxJE,5807786,80年代流行曲,年代未核實,粵語,,unknown
era-unverified,POP-052,年代未核實,風再起時,zEfh1r3N0no,5510341,80年代流行曲,年代未核實,粵語,,unknown
era-unverified,POP-053,年代未核實,光辉岁月,HyChySXLyPk,5329934,80年代流行曲,年代未核實,粵語,,unknown
era-unverified,POP-054,年代未核實,主唱,CmlsjFgy0Ts,5238522,80年代流行曲,年代未核實,粵語,,unknown
era-unverified,POP-055,年代未核實,情人,iXqIb2KOC3M,5060709,80年代流行曲,年代未核實,國語,,unknown
verified-era,POP-056,80年代流行曲,風的季節,umUtPPGFe1w,4801833,80年代流行曲,80年代流行曲,粵語,1981,video-id-match
era-unverified,POP-057,年代未核實,似夢迷離,Yt1vq8pDGK0,4594344,80年代流行曲,年代未核實,粵語,,unknown
