sourceList,number,title,videoId,viewCount,category,language,languageConfidence,year,eraTags,eraConfidence
hymns,HYMN-001,我們成為一家人,axJlfLJGwQk,1216810,詩歌,粵語,existing,,,
hymns,HYMN-003,愛如繁星,QHxdGXUkCFQ,1393932,詩歌,粵語,existing,,,
hymns,HYMN-005,以感恩為祭,ozRtnVOvYvM,688255,詩歌,粵語,existing,,,
hymns,HYMN-006,以馬內利,gB3vpIAYhIM,729792,詩歌,粵語,existing,,,
hymns,HYMN-009,有祢同行,2KM6F_vQSD0,3578882,詩歌,粵語,existing,,,
hymns,HYMN-013,信心的等待,0mn6wvX1l18,3650801,詩歌,粵語,existing,,,
hymns,HYMN-015,十架的冠冕,Pz10IS-TCmg,1629304,詩歌,粵語,existing,,,
hymns,HYMN-021,恩典太美麗,JlTb0Sf7xUg,1763133,詩歌,粵語,existing,,,
hymns,HYMN-022,耶和華要保護你,vij9KnhNDpo,842886,詩歌,粵語,existing,,,
hymns,HYMN-030,獻給我天上的主,0rh6R51MRls,985489,詩歌,粵語,existing,,,
hymns,HYMN-032,我們愛因為神先愛,szBB3WqM9x4,606706,詩歌,粵語,existing,,,
hymns,HYMN-036,請堅固我,s0h93HvF3aY,924040,詩歌,粵語,existing,,,
hymns,HYMN-038,立志擺上,WLtqi4s29LQ,5948498,詩歌,粵語,existing,,,
hymns,HYMN-041,萬有都歸祢,SOXdBgXWw4M,541373,詩歌,粵語,existing,,,
hymns,HYMN-043,慈繩愛索,g0W4TYQX7NM,1095581,詩歌,粵語,existing,,,
hymns,HYMN-045,最好的路徑,wfAmoadlCo0,749152,詩歌,粵語,existing,,,
hymns,HYMN-047,親眼看見祢,r6OF36e0-f4,4037792,詩歌,粵語,existing,,,
hymns,HYMN-049,一直都是祢,y7K-rMz3fUM,817260,詩歌,粵語,existing,,,
hymns,HYMN-055,不變的應許,JnXaTrJtbUA,4957422,詩歌,粵語,existing,,,
hymns,HYMN-059,儘管我尚未看見,PtJLd5GEyb4,711374,詩歌,粵語,existing,,,
hymns,HYMN-060,唱一首天上的歌,ZSOYluQXi5o,5732032,詩歌,粵語,existing,,,
hymns,HYMN-063,我向祢禱告,-IVXs-rBonc,3927677,詩歌,粵語,existing,,,
hymns,HYMN-064,當我抬頭仰望,vMjdPG60CS0,4387364,詩歌,粵語,existing,,,
hymns,HYMN-065,谷中百合花,uhGSFj5McAQ,1737442,詩歌,粵語,existing,,,
hymns,HYMN-069,神啊！祢在哪兒,mbjAbHpetQc,1515243,詩歌,粵語,existing,,,
hymns,HYMN-070,神愛我和你,5x-0Coj-yR4,2054312,詩歌,粵語,existing,,,
hymns,HYMN-078,祢的愛不離不棄,-kHB_L11P_U,21651388,詩歌,粵語,existing,,,
hymns,HYMN-079,聖靈請祢來,IjufasfZ9hE,11866739,詩歌,粵語,existing,,,
hymns,HYMN-081,因著信,qNndl7K3z3k,3223267,詩歌,粵語,existing,,,
hymns,HYMN-082,再次站起來,K-zNT8BxkD4,880886,詩歌,粵語,existing,,,
hymns,HYMN-083,祢是我惟一的倚靠,nXuUEAO8K6A,722671,詩歌,粵語,existing,,,
hymns,HYMN-084,主祢知道,H0B6KPHYbSQ,678880,詩歌,粵語,existing,,,
hymns,HYMN-085,最好的福氣,HcpvUZoIv70,2053215,詩歌,粵語,existing,,,
hymns,HYMN-086,復興我,R5lI1X1kyQE,648198,詩歌,粵語,existing,,,
hymns,HYMN-087,我能痊癒,rvYnI9pYeUE,619003,詩歌,粵語,existing,,,
hymns,HYMN-088,如此認識我,nqNRef8sAnw,1926641,詩歌,粵語,existing,,,
hymns,HYMN-089,晨禱,ZzHrqn6ZOas,582191,詩歌,粵語,existing,,,
hymns,HYMN-090,信心,fmLNcCIRaJw,519184,詩歌,粵語,existing,,,
hymns,HYMN-113,不要憂慮,nF5J6AKOPvk,1522914,詩歌,粵語,existing,,,
hymns,HYMN-147,全地至高是我主,-gRLvt8SjMM,1382309,詩歌,粵語,existing,,,
hymns,HYMN-156,祢是我神,3ne_YTWSacU,1168294,詩歌,粵語,existing,,,
hymns,HYMN-157,耶和華以勒,_ptl6lbH8pw,778969,詩歌,粵語,existing,,,
hymns,HYMN-159,抬起我的頭,rliR1n4VXLA,3891213,詩歌,粵語,existing,,,
hymns,HYMN-160,感謝一生有祢,kF-xR8Z04p4,1508975,詩歌,粵語,existing,,,
hymns,HYMN-161,神大愛,O9tcXjy4gao,649510,詩歌,粵語,existing,,,
hymns,HYMN-162,若有人在基督裡,hr9ZyP1SElE,1627680,詩歌,粵語,existing,,,
hymns,HYMN-164,阿爸這就是祢,M5p_fKpBQDs,1299342,詩歌,粵語,existing,,,
hymns,HYMN-186,更新我心,TYUpFlASmes,879128,詩歌,粵語,existing,,,
hymns,HYMN-187,平安的路,FU72nStYbfk,718025,詩歌,粵語,existing,,,
hymns,HYMN-188,主禱文(請教導我們禱告),MCTzfPyMyww,1017969,詩歌,粵語,existing,,,
hymns,HYMN-194,祢是我的平安,uCA2jOPLXPM,877573,詩歌,粵語,existing,,,
hymns,HYMN-195,野地的花,Y9oecbLEyMI,1978224,詩歌,粵語,existing,,,
hymns,HYMN-196,我要愛慕祢,2IJbuIeyQog,1781375,詩歌,粵語,existing,,,
hymns,HYMN-197,誰曾應許,McixlPUGPzI,1652302,詩歌,粵語,existing,,,
hymns,HYMN-198,最真實的我,EKTCoKolC3M,1208687,詩歌,粵語,existing,,,
hymns,HYMN-201,陪我渡過,Fzs1uHV0qPQ,1194521,詩歌,粵語,existing,,,
hymns,HYMN-202,平安,ewpkz5cW7Co,5127261,詩歌,粵語,existing,,,
hymns,HYMN-203,討祢喜悅,sdlFWURyedg,5036751,詩歌,粵語,existing,,,
hymns,HYMN-204,更深經歷你,Y8X8JXNbBbI,3267844,詩歌,粵語,existing,,,
hymns,HYMN-205,從破碎到自由,DGKKkll7Ito,3088518,詩歌,粵語,existing,,,
