videoId,oldTitle,title,language,year,note,url
XJfFYbZn_P8,搭錯車,酒干倘賣無,國語,1983,Old answer was the movie name; YouTube title identifies the song.,https://www.youtube.com/watch?v=XJfFYbZn_P8
GurozK-HRTw,飛機場的10,飛機場的10:30,國語,1997,Old answer was truncated before :30.,https://www.youtube.com/watch?v=GurozK-HRTw
JdDPVmfETy8,用心良苦,雨一直下,國語,1999,"Video is Rain Keeps Falling, not 用心良苦.",https://www.youtube.com/watch?v=JdDPVmfETy8
L229QDxDakU,七里香,一路向北,國語,2005,Video is Jay Chou - 一路向北.,https://www.youtube.com/watch?v=L229QDxDakU
DYptgVvkVLQ,青花瓷,晴天,國語,2003,Video is Jay Chou - 晴天.,https://www.youtube.com/watch?v=DYptgVvkVLQ
K96zOesFccY,蔡楓華,倩影,粵語,,Old answer was the singer name.,https://www.youtube.com/watch?v=K96zOesFccY
ErGjJ-SjBQ4,日本,日本娃娃,粵語,,Old answer was a partial title.,https://www.youtube.com/watch?v=ErGjJ-SjBQ4
SVHwGmm0-VM,温兆伦,隨緣,粵語,,Old answer was the singer name.,https://www.youtube.com/watch?v=SVHwGmm0-VM
4OJnlkTTFdg,杜德伟,嫁給我,國語,,Old answer was the singer name.,https://www.youtube.com/watch?v=4OJnlkTTFdg
8vSVtDLLW0g,傷一回,愛一回 傷一回,粵語,,Old answer was a partial title.,https://www.youtube.com/watch?v=8vSVtDLLW0g
WdRdYQSi37Y,陳苑淇,合久必婚,粵語,,Old answer was a singer name.,https://www.youtube.com/watch?v=WdRdYQSi37Y
AjitR7RZEQU,夢駝鈴,一剪梅,國語,,Video title points to 一剪梅.,https://www.youtube.com/watch?v=AjitR7RZEQU
t2B_SPk77M0,驛動的心,再回首,國語,,Video title points to 再回首.,https://www.youtube.com/watch?v=t2B_SPk77M0
ZAlSw_dVq1Q,台北的天空,得意的笑,國語,,Video title points to 得意的笑.,https://www.youtube.com/watch?v=ZAlSw_dVq1Q
LDgO0TG30lQ,三百六十五里路,七情六慾,國語,,Video title points to 七情六慾.,https://www.youtube.com/watch?v=LDgO0TG30lQ
CDOKJlZ6XUM,桂花巷,浮生千山路,國語,,Video title points to 浮生千山路.,https://www.youtube.com/watch?v=CDOKJlZ6XUM
H5rsi-DpnIU,林慧萍,倩影,國語,,Old answer was the singer name.,https://www.youtube.com/watch?v=H5rsi-DpnIU
X0YGXcqV_6U,葉倩文,其實你不懂我的心,國語,,Old answer was a singer name.,https://www.youtube.com/watch?v=X0YGXcqV_6U
Rrkb3XhAsL8,刘明湘,哭砂,國語,,Old answer was the singer name.,https://www.youtube.com/watch?v=Rrkb3XhAsL8
aP0UX-YJzV0,文章,三百六十五里路,國語,,Old answer was the singer name.,https://www.youtube.com/watch?v=aP0UX-YJzV0
GNEVfwPPwa0,中华情,夢駝鈴,國語,,Old answer was the show/context name.,https://www.youtube.com/watch?v=GNEVfwPPwa0
QdCzgMq7WBA,刘文正,阿美阿美,國語,,Old answer was the singer name.,https://www.youtube.com/watch?v=QdCzgMq7WBA
9LB6NoX6vwg,夢一生,為了愛 夢一生,國語,,Old answer was a partial title.,https://www.youtube.com/watch?v=9LB6NoX6vwg
wWCBdJ-JgAU,高胜美,千年等一回,國語,,Old answer was the singer name.,https://www.youtube.com/watch?v=wWCBdJ-JgAU
ysGCZHrMYOU,鞠婧祎,千年等一回,國語,,Old answer was the singer name.,https://www.youtube.com/watch?v=ysGCZHrMYOU
5kz-aSBlDHQ,懷念經典歌曲,又見炊煙,國語,,"Old answer was descriptive text, not a song title.",https://www.youtube.com/watch?v=5kz-aSBlDHQ
3b2dadcuNgM,殷正洋,三百六十五里路,國語,,Old answer was the singer name.,https://www.youtube.com/watch?v=3b2dadcuNgM
5WXWMdVVTT8,超平凡人的,超平凡人的主題曲,粵語,,Old answer was a partial title.,https://www.youtube.com/watch?v=5WXWMdVVTT8
9elvYViwP4g,K歌之王 AIR,K歌之王,粵語,,Old answer included the arrangement/version label.,https://www.youtube.com/watch?v=9elvYViwP4g
LXHs3VBE5cc,所以我快樂,你快樂 所以我快樂,國語,,Old answer was a partial title.,https://www.youtube.com/watch?v=LXHs3VBE5cc
WwerHJQ-77I,梁咏琪,膽小鬼,國語,,Old answer was the singer name.,https://www.youtube.com/watch?v=WwerHJQ-77I
crwc9j8TIeE,湯寳如,相思風雨中,粵語,,Old answer was a singer name.,https://www.youtube.com/watch?v=crwc9j8TIeE
OURMLVMCXT4,向右走,向左走 向右走,粵語,,Old answer was a partial title.,https://www.youtube.com/watch?v=OURMLVMCXT4
_s8Iot-uo7s,所以我,因為你 所以我,國語,,Old answer was a partial title.,https://www.youtube.com/watch?v=_s8Iot-uo7s
xrUyk79DLbg,原來你什麼都不要,如果你也聽說,國語,,Video title points to 如果你也聽說.,https://www.youtube.com/watch?v=xrUyk79DLbg
yYwn8k502qY,你看你看月亮的臉,城裡的月光,國語,,Video title points to 城裡的月光.,https://www.youtube.com/watch?v=yYwn8k502qY
PqW1TGzdpn4,我悄悄蒙上你的眼睛,誰說我不在乎,國語,,Video title points to 誰說我不在乎.,https://www.youtube.com/watch?v=PqW1TGzdpn4
Pwmc2ja3bEA,最浪漫的事,求婚,國語,,Video title points to 求婚.,https://www.youtube.com/watch?v=Pwmc2ja3bEA
NKPjVgTt48Q,千年等一回,青青河邊草,國語,,Video title points to 青青河邊草.,https://www.youtube.com/watch?v=NKPjVgTt48Q
xl7enIAM4Go,楊培安,我相信,國語,,Old answer was the singer name.,https://www.youtube.com/watch?v=xl7enIAM4Go
XL1EV--sf7M,周傳雄,我的心太亂,國語,,Old answer was the singer name.,https://www.youtube.com/watch?v=XL1EV--sf7M
BD-6R5foKrI,張耀揚,愛我別走,國語,,Old answer was the singer/performer name.,https://www.youtube.com/watch?v=BD-6R5foKrI
k_l7FVsqUyM,分手快樂,可惜不是你,國語,,Video title points to 可惜不是你.,https://www.youtube.com/watch?v=k_l7FVsqUyM
NAODcPQcy9U,睫毛彎彎,愛你,國語,,Video title points to 愛你.,https://www.youtube.com/watch?v=NAODcPQcy9U
WRwarsqzZ_M,就是愛你,今天妳要嫁給我,國語,,Video title points to 今天妳要嫁給我.,https://www.youtube.com/watch?v=WRwarsqzZ_M
sU_ByeHJtw8,大城小愛,依然愛你,國語,,Video title points to 依然愛你.,https://www.youtube.com/watch?v=sU_ByeHJtw8
TVjsnSJlULg,如果你也聽說,我最親愛的,國語,,Video title points to 我最親愛的.,https://www.youtube.com/watch?v=TVjsnSJlULg
Ij_9xW9Bc6U,只字不提,夢回神都,國語,,Video title points to 夢回神都.,https://www.youtube.com/watch?v=Ij_9xW9Bc6U
Jig8P2DMXfg,繁花依舊,和光同塵,國語,,Video title points to 和光同塵.,https://www.youtube.com/watch?v=Jig8P2DMXfg
migZH5LJ-D0,鄭中基,無賴,粵語,,Old answer was the singer name.,https://www.youtube.com/watch?v=migZH5LJ-D0
0D676uRWYPI,十萬毫升淚水完整放映,十萬毫升淚水,國語,,Old answer included playback/context words.,https://www.youtube.com/watch?v=0D676uRWYPI
jGY0lAWCMCY,酒干倘賣無,酒干倘賣無,國語,,Language-only correction for a Mandarin/Taiwanese pop song.,https://www.youtube.com/watch?v=jGY0lAWCMCY
VKq2flvS7dw,一剪梅,一剪梅,國語,,Language-only correction for the Mandarin song.,https://www.youtube.com/watch?v=VKq2flvS7dw
HfdEk5RbzrA,檸檬樹,Lemon Tree,國語,,Official YouTube title uses the English song title.,https://www.youtube.com/watch?v=HfdEk5RbzrA
