title,count,first_date,last_date
三一頌,247,20210606,20260517
阿們頌,247,20210606,20260517
至聖上帝,238,20210606,20260222
分享主愛,114,20221016,20260517
上帝請差遣我,51,20250601,20260517
人們需要主,50,20220123,20241117
遵主教導,43,20230108,20231231
清晨頌禱,12,20260301,20260517
賜福你,9,20211205,20220130
感恩祭,7,20230402,20251130
祢真偉大,7,20210822,20260315
耶和華永遠至高,7,20230212,20250921
世界之光,6,20220123,20251109
傳揚祢大愛,6,20211107,20250727
成為神蹟的器皿,6,20210718,20250817
我們成為一家人,6,20210926,20250330
教會獨一的根基,6,20220522,20260412
榮耀的呼召,6,20230226,20251026
求祢以真理和愛引導我,6,20220717,20260419
美哉主耶穌,6,20220410,20250921
耶穌,6,20211205,20251207
讚美耶和華,6,20210725,20250810
全地至高是我主,5,20220306,20230820
同證主恩,5,20230416,20231029
因祢榮耀,5,20230212,20260104
活出愛,5,20210912,20260301
神是愛,5,20211219,20260517
祢的信實廣大,5,20210905,20251228
禱文,5,20220220,20250713
稱謝復活主,5,20220417,20260412
稱頌上主,5,20210718,20250907
聖哉三一,5,20211121,20260104
興起發光,5,20220116,20250126
萬代君主,5,20220130,20241215
阿爸天父,5,20210801,20231001
除祢以外,5,20240107,20260510
以愛還愛,4,20221002,20250511
何等恩典,4,20220911,20250914
在主前靜默,4,20241006,20241027
奉獻什麼,4,20220814,20241117
平安,4,20230604,20250629
從這代到那代,4,20211114,20241027
恩典之路,4,20220814,20260517
愛中相遇,4,20211010,20240804
愛如繁星,4,20220731,20250413
愛有多少,4,20231105,20250406
教會的主,4,20211024,20240428
榮耀歸與祂,4,20220911,20260208
每一天,4,20220213,20250608
獻上活祭,4,20230709,20250216
真神之愛,4,20220522,20260510
祂是耶和華,4,20210620,20260111
神坐著為王,4,20221030,20260118
祢是神,4,20220529,20250119
耶穌！耶穌！,4,20211205,20241208
萬邦之歌,4,20231105,20231126
衷心稱頌上主,4,20210926,20260301
讚美主,4,20230122,20260426
遍地細說主奇妙,4,20220206,20260222
頌讚全能上帝,4,20210808,20250817
願祢的話,4,20210725,20260308
高舉尊貴的祢,4,20230101,20250216
一心宣講祢的愛,3,20251102,20251123
世上最好的愛,3,20240317,20241222
仍能讚美,3,20240428,20250622
以感恩為祭,3,20230618,20260208
以馬內利,3,20211212,20251214
傳承使命,3,20220206,20240915
充滿主馨香,3,20220213,20230611
同領主餐,3,20210704,20230205
唯有耶穌,3,20221009,20241124
在祢手中,3,20241117,20260412
如明亮晨星,3,20221225,20260419
寶貴十架,3,20211226,20240324
幽谷讚美聲,3,20240204,20250727
從罪灰走向活水,3,20240218,20260322
愛就是,3,20220327,20251207
慈愛長存,3,20211010,20230910
我們的神,3,20250914,20251123
我心所慕,3,20210912,20220807
我是祢愛子,3,20241229,20260517
我要感謝上主,3,20211107,20250810
我願為祢去,3,20220130,20250727
我高舉祢的名,3,20220612,20260426
擁戴我主為王,3,20210606,20241027
是我一切,3,20240225,20260315
是我一生的呼召,3,20230723,20260125
是祢先愛我,3,20250427,20250601
晝夜思念神律法,3,20230723,20250713
有一位神,3,20211003,20260201
有祢同行,3,20220925,20251130
榮耀的王成肉身,3,20231224,20241215
永活基督,3,20220508,20260419
永生神就是靈,3,20220220,20250126
永遠尊貴,3,20220501,20260301
治萬方,3,20221127,20241117
為何揀選我,3,20230402,20250302
為我受傷,3,20221002,20260104
真光普照,3,20230430,20250824
祢是我神,3,20230423,20250706
給我子女名份,3,20210801,20240218
美哉錫安,3,20210725,20230709
耶和華以勒,3,20210613,20250928
耶穌奇妙的救恩,3,20221120,20250615
耶穌愛我,3,20220515,20250518
耶穌配得至聖尊榮,3,20230723,20250511
聖名榮光,3,20220213,20240505
聖善夜,3,20211205,20251221
至高尊貴的祢,3,20230115,20250316
至高尊貴的袮,3,20210815,20240114
苦難,3,20230226,20240407
萬國萬民讚美主,3,20221127,20241124
薪火永傳,3,20220515,20240324
要忠心,3,20221127,20240414
讓我感恩,3,20220109,20260222
讚美我天父,3,20210613,20230604
遠超萬名之名,3,20220814,20241110
陪我走過春夏秋冬,3,20230115,20241229
預苦四十晝夜,3,20230326,20250309
一家人,2,20240303,20241229
一生敬拜祢,2,20241020,20251026
上主,2,20240128,20260215
上主的國,2,20221023,20250601
世界最美的聲音,2,20211226,20240616
世界最美聲音,2,20240915,20250525
亞伯拉罕的主,2,20220828,20240908
人人都應該知道,2,20221120,20240526
人算甚麼,2,20220313,20250316
仍然相信祢,2,20250622,20260329
以愛奉獻,2,20240428,20250330
以馬內利來臨,2,20221204,20221218
住在祢裡面,2,20241006,20260315
來崇拜大君,2,20211031,20230205
來稱頌真神,2,20211212,20231112
信心的等待,2,20220508,20241201
全能父上帝,2,20220522,20240121
全能真神,2,20240303,20250323
創造奇功,2,20210829,20241103
