old_number,title,video_id,youtube_title,tpmac_source_date,tpmac_source_url,anchor_rate,common_rate,reason
HYMN-003,感恩祭,IbU42dENe2M,感恩祭,20230402,https://www.tpmac.org/images/data/TPMAC_Files/worship/2023/20230402_worship.pdf,0,0.1744,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-013,美哉主耶穌,uE_HAcwlxL8,美哉主耶穌,20220410,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220410_worship.pdf,0.0045,0.363,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-014,讚美耶和華,_I4wvMSOiw8,【讚美耶和華  Praise The Lord】官方歌詞版MV (Official Lyrics MV) - 讚美之泉台語敬拜讚美 (1),20220102,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220102_worship.pdf,0.0054,0.3036,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-016,同證主恩,ycl3KkFSe6U,同證主恩 sensorMusic (Demo)｜ 原創詩歌 粵語詩歌 詩歌敬拜,20231008,https://www.tpmac.org/images/data/TPMAC_Files/worship/2023/20231008_worship.pdf,0,0.3811,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-018,活出愛,xn0llwzGmTE,范瑋琪 + 蘇以樂 + 蘇以行 + 蔡語涵 + 蔡岳辰 - 活出愛 Love Life (官方歌詞版) - 『LOVE LIFE』公益主題曲,20210912,https://www.tpmac.org/images/data/TPMAC_Files/worship/2021/booklet/20210912_worship.pdf,0,0.5128,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-021,稱頌上主,XfEgUshJAmg,【稱頌上主】,20210718,https://www.tpmac.org/images/data/TPMAC_Files/worship/2021/booklet/20210718_worship.pdf,0,0.25,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-029,在主前靜默,5oTLWdZ6m58,[ 在主前靜默 Be still for the presence of the Lord ] - Cover ft. 簡愛 Christine Chien,20241006,https://www.tpmac.org/images/data/TPMAC_Files/worship/2024/20241006_worship.pdf,0.0103,0.3636,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-040,真神之愛,_8JkN8A5ukc,【真神之愛】The Love of God│《生命聖詩》 第41首│詞曲 : Frederick M. Lehman│鋼琴：gracehome251│頌唱：Teresa Huang,20220522,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220522_worship.pdf,0,0.4875,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-046,衷心稱頌上主,zIxxulCf9hg,衷心稱頌上主 ( 粵語，練習版  ),20240211,https://www.tpmac.org/images/data/TPMAC_Files/worship/2024/20240211_worship.pdf,0,0.0388,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-065,我們的神,kvrRtRe9AoU,【我們的神 You Are Our God】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (27),20250914,https://www.tpmac.org/images/data/TPMAC_Files/worship/2025/20250914_worship.pdf,0.0085,0.5149,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-070,我高舉祢的名,UbspCrEwMDA,上敬拜Shang Worshippers -主我高舉你的名 Lord I Lift Your Name On High（f.t 黃美珍JANE / 劉文瀚Yusof）,20260426,https://www.tpmac.org/images/data/TPMAC_Files/worship/2026/20260426_worship.pdf,0.0082,0.2961,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-076,有一位神,evguKWXIbjM,有一位神,20250831,https://www.tpmac.org/images/data/TPMAC_Files/worship/2025/20250831_worship.pdf,0,0.0769,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-079,永活基督,jPNcVV2TSCs,永活基督  普天頌讚新修訂版第274首  吳仲廉,20220508,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220508_worship.pdf,0,0.2989,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-081,永遠尊貴,-ZnOCvRnwaQ,【永遠尊貴 All Honor To You】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (12A),20220501,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220501_worship.pdf,0,0.2632,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
HYMN-082,治萬方,XnJyM4VGaFc,主治萬方 Jesus Shall Reign Where'er the Sun｜生命聖詩16（國語）,20231112,https://www.tpmac.org/images/data/TPMAC_Files/worship/2023/20231112_worship.pdf,0,0.0991,Removed from active game library because TPMAC lyric text and available YouTube text did not match.
