number,title,video_id,youtube_title,tpmac_source_date,tpmac_source_url,tpmac_lyric_chars,tpmac_lyric_hash,youtube_text_source,youtube_text_chars,youtube_text_hash,anchor_hits,anchor_total,anchor_rate,common_rate,status,note
HYMN-001,人們需要主,b-749mZx8fU,[ 人們需要主  ] 中文歌詞字幕,20220123,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220123_worship.pdf,182,d7b172bde5c03d3ddc5f62342299012fb0ea9e29,none,0,,0,0,0,0,no_youtube_lyrics,
HYMN-002,賜福你,P0rEipirPzs,主賜福你 lyrics // ACM // full version,20211205,https://www.tpmac.org/images/data/TPMAC_Files/worship/2021/booklet/20211205_worship.pdf,115,c4eb832b5bd5745e024ee12a853b12f93005e233,none,0,,0,0,0,0,no_youtube_lyrics,
HYMN-003,祢真偉大,V1LRpbz25SY,你真偉大,20221120,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20221120_worship.pdf,175,040811bf95da58965256510243323ec68293bc60,none,0,,0,0,0,0,no_youtube_lyrics,
HYMN-004,耶和華永遠至高,7x7Ve4jBmHQ,耶和華永遠至高,20230212,https://www.tpmac.org/images/data/TPMAC_Files/worship/2023/20230212_worship.pdf,110,33885385323880823661806400c1cf99dcb6b644,description,157,e6e31c1145a9066f5cc8a19d609e9731cc9bf079,89,103,0.8641,0.913,lyrics_confirmed,
HYMN-005,世界之光,zwdR8KM80nk,世界之光,20220123,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220123_worship.pdf,116,62f613b9030d198de34350ae78730e2c2d78b9e4,description,171,380e37f1e4d3e0a1ed4bc1570cdd0d7988449a85,84,96,0.875,0.8939,lyrics_confirmed,
HYMN-006,傳揚祢大愛,rKZ5bx-kdZM,傳揚祢大愛 Proclaiming Your Magnificent Love,20211107,https://www.tpmac.org/images/data/TPMAC_Files/worship/2021/booklet/20211107_worship.pdf,117,e4a07840d8297b3b765aae28371231613937c296,description,94,33b7a838c7c9625150a9cefb34ea3b241a2e0a86,5,113,0.0442,0.1364,needs_manual_review,
HYMN-007,成為神蹟的器皿,zYHUxoykI7w,成為神蹟的器皿,20240421,https://www.tpmac.org/images/data/TPMAC_Files/worship/2024/20240421_worship.pdf,148,ffd4520c2031f3c61fad890f0a3f67b813b2801a,none,0,,0,0,0,0,no_youtube_lyrics,
HYMN-008,我們成為一家人,axJlfLJGwQk,我們成為一家人,20220619,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220619_worship.pdf,162,a1061c98cf0d9fcf0f066abac72f914a1683e6f4,none,0,,0,0,0,0,no_youtube_lyrics,
HYMN-009,教會獨一的根基,9sxo44elABI,【教會獨一的根基】The Church's One Foundation│詞：S. J. Stone│曲：S. S.Wesley│鋼琴：Julie Ann Kitchen│頌唱：Teresa H.,20221030,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20221030_worship.pdf,223,59555022271c727611fa944e68f9af3dbe61674f,description,1216,b85ea237e8ac96e943fcd51d492b29a295c6eab5,182,216,0.8426,0.9868,lyrics_confirmed,
HYMN-010,榮耀的呼召,v5wnpajW6jo,【榮耀的呼召 Glorious Calling】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (20),20230226,https://www.tpmac.org/images/data/TPMAC_Files/worship/2023/20230226_worship.pdf,117,ea52fd9f075780b3d0fa73612cda906eea89053b,description,1325,5c5f7c9407969c0d34b9d5d91ed5b9617b799703,83,103,0.8058,0.9737,lyrics_confirmed,
HYMN-011,求祢以真理和愛引導我,vTG-LQPFtRg,求祢以真理和愛引導我 | 同心圓 (TWS 敬拜者使團) | 歌詞MV,20220821,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220821_worship.pdf,167,7187c214c59ba5472d4ddf94703e2cc3d2399fca,description,238,bff4f2480235e0408d368840d18fc6ef93a6a67f,138,154,0.8961,0.9259,lyrics_confirmed,
HYMN-012,全地至高是我主,9AsBFAfnUjM,全地至高是我主,20220731,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220731_worship.pdf,110,63ceb4c96b3ba8a221b40def23a7a95306d7a704,none,0,,0,0,0,0,no_youtube_lyrics,
HYMN-013,因祢榮耀,WCwTGlsfl5c,角聲使團 因祢榮耀,20250105,https://www.tpmac.org/images/data/TPMAC_Files/worship/2025/20250105_worship.pdf,146,ec90ec1202a34130eb9d85643312fe15ac74f9e6,description,194,8ddfc0162b0ce755f703a10c624f6d5a7e0395b3,117,133,0.8797,0.9806,lyrics_confirmed,
HYMN-014,祢的信實廣大,mbnRYggcPpw,祢的信實廣大｜會眾詩歌｜台北懷恩堂主日崇拜,20231105,https://www.tpmac.org/images/data/TPMAC_Files/worship/2023/20231105_worship.pdf,283,3c9bf9f11a70c9c30dfb065afc1b7195f29aa989,description,178,07d5df92a800acef292d1a39c8605ad84a5fe10a,7,232,0.0302,0.4841,needs_manual_review,
HYMN-015,稱謝復活主,zniTLYgOw34,稱謝復活主  普天頌讚新修訂版第273首,20220417,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220417_worship.pdf,105,28ba08eec93afdcdeb6249a7cb103747096e19fb,description,172,624859091119ff0e57dbe6aeadbb6fa13649e1ac,44,97,0.4536,0.9032,lyrics_confirmed,
HYMN-016,聖哉三一,pw5elBqhQMA,聖哉三一 Holy Holy Holy ｜生命聖詩5（國語）,20211121,https://www.tpmac.org/images/data/TPMAC_Files/worship/2021/booklet/20211121_worship.pdf,190,c681e79d340c709199612c9ffb1a0258d62d2039,description,870,3e1da6ff1e0c56a717e5d413b4dc1394d7cb9518,135,154,0.8766,1,lyrics_confirmed,
HYMN-017,興起發光,WehSVicC2M8,興起發光,20221113,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20221113_worship.pdf,105,699561ee8335247c6392e245ceede7c4d80a5846,none,0,,0,0,0,0,no_youtube_lyrics,
HYMN-018,萬代君主,PZhCPVB0dp8,萬代君主,20220925,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220925_worship.pdf,89,111a8cb6068e705735ad04448d3e35e9e7a6c487,description,107,a0bdab5cb3a900fca4f62dedaefb527422fdefb9,69,82,0.8415,0.9857,lyrics_confirmed,
HYMN-019,阿爸天父,KE8X-sG64nk,【阿爸天父 Abba Father】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (13),20220925,https://www.tpmac.org/images/data/TPMAC_Files/worship/2022/booklet/20220925_worship.pdf,170,a38f5c244e6b74e86c4b8722f24b172bd9c255dc,description,1409,87a82001451cb7ae0706cd5fb2ecbe958cf4c3ef,4,161,0.0248,0.292,needs_manual_review,
HYMN-020,除祢以外,a18vlQLgoCc,除祢以外,20250720,https://www.tpmac.org/images/data/TPMAC_Files/worship/2025/20250720_worship.pdf,107,a7f4db0e3bfa16b6106610a99fe9ddef758b6237,description,92,334f3a4aa158094788465341172d78a251cbca44,0,98,0,0.1967,needs_manual_review,
HYMN-021,以愛還愛,2tX58dM4n1s,以愛還愛,20230507,https://www.tpmac.org/images/data/TPMAC_Files/worship/2023/20230507_worship.pdf,357,ba472f869d93b81eee4cb6f2ecf8d1d9e7a59c1e,none,0,,0,0,0,0,no_youtube_lyrics,
HYMN-022,何等恩典,u2M-zzt1Whc,【何等恩典 How Could It Be】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (14),20230305,https://www.tpmac.org/images/data/TPMAC_Files/worship/2023/20230305_worship.pdf,217,52daadf71e5bab0defd3049a75b04d7c57e4c2a1,description,1544,ee70b446076c8e4d87a1294d5a336a878cff3b56,75,199,0.3769,0.6083,lyrics_confirmed,
HYMN-023,奉獻什麼,4qL_VVKRMMY,奉獻什麼,20241103,https://www.tpmac.org/images/data/TPMAC_Files/worship/2024/20241103_worship.pdf,109,c236a5ac6ca1566dd09349bbadb490587f8a3af4,none,0,,0,0,0,0,no_youtube_lyrics,
HYMN-024,從這代到那代,kNnZXzsNYPo,【從這代到那代 From Now till Evermore】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (19),20211114,https://www.tpmac.org/images/data/TPMAC_Files/worship/2021/booklet/20211114_worship.pdf,154,925c8942e9ac384f6a04006420be63a3af4e7428,description,1312,b7dd0b39d9a9e157ce65b2ffd1e25d7cf7896ed7,111,138,0.8043,0.9783,lyrics_confirmed,
