status,song_title,count,first_date,last_date,video_id,youtube_title,channel,length,score,sample_or_url
match,人們需要主,50,20220123,20241117,b-749mZx8fU,[ 人們需要主  ] 中文歌詞字幕,內巷 | withinlane,4:40,107,https://www.youtube.com/watch?v=b-749mZx8fU
match,賜福你,9,20211205,20220130,P0rEipirPzs,主賜福你 lyrics // ACM // full version,Tom Luk,3:05,115,https://www.youtube.com/watch?v=P0rEipirPzs
match,感恩祭,7,20230402,20251130,IbU42dENe2M,感恩祭,Tom Wan,3:49,235,https://www.youtube.com/watch?v=IbU42dENe2M
match,祢真偉大,7,20210822,20260315,V1LRpbz25SY,你真偉大,新心音樂事工 New Heart Music Ministries,5:19,268,https://www.youtube.com/watch?v=V1LRpbz25SY
match,耶和華永遠至高,7,20230212,20250921,7x7Ve4jBmHQ,耶和華永遠至高,維珍妮亞,2:50,260,https://www.youtube.com/watch?v=7x7Ve4jBmHQ
match,世界之光,6,20220123,20251109,zwdR8KM80nk,世界之光,J.Praise青年音樂事工,4:30,260,https://www.youtube.com/watch?v=zwdR8KM80nk
match,傳揚祢大愛,6,20211107,20250727,rKZ5bx-kdZM,傳揚祢大愛 Proclaiming Your Magnificent Love,基恩敬拜 Amazing Grace Worship,3:41,103,https://www.youtube.com/watch?v=rKZ5bx-kdZM
match,成為神蹟的器皿,6,20210718,20250817,zYHUxoykI7w,成為神蹟的器皿,生命河靈糧堂,4:53,268,https://www.youtube.com/watch?v=zYHUxoykI7w
match,我們成為一家人,6,20210926,20250330,axJlfLJGwQk,我們成為一家人,777Worship 完全的敬拜 | 敬拜中裡合一 | Unity in Worship,4:22,260,https://www.youtube.com/watch?v=axJlfLJGwQk
match,教會獨一的根基,6,20220522,20260412,9sxo44elABI,【教會獨一的根基】The Church's One Foundation│詞：S. J. Stone│曲：S. S.Wesley│鋼琴：Julie Ann Kitchen│頌唱：Teresa H.,Teresa古今詩歌Hymns♬,4:36,95,https://www.youtube.com/watch?v=9sxo44elABI
match,榮耀的呼召,6,20230226,20251026,v5wnpajW6jo,【榮耀的呼召 Glorious Calling】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (20),讚美之泉 Stream Of Praise Music Ministries,5:00,115,https://www.youtube.com/watch?v=v5wnpajW6jo
match,求祢以真理和愛引導我,6,20220717,20260419,vTG-LQPFtRg,求祢以真理和愛引導我 | 同心圓 (TWS 敬拜者使團) | 歌詞MV,More of Jesus Worship (更多有耶穌的敬拜),5:42,107,https://www.youtube.com/watch?v=vTG-LQPFtRg
match,美哉主耶穌,6,20220410,20250921,uE_HAcwlxL8,美哉主耶穌,宇宙光百人大合唱,2:41,260,https://www.youtube.com/watch?v=uE_HAcwlxL8
match,讚美耶和華,6,20210725,20250810,_I4wvMSOiw8,【讚美耶和華  Praise The Lord】官方歌詞版MV (Official Lyrics MV) - 讚美之泉台語敬拜讚美 (1),讚美之泉 Stream Of Praise Music Ministries,5:08,115,https://www.youtube.com/watch?v=_I4wvMSOiw8
match,全地至高是我主,5,20220306,20230820,9AsBFAfnUjM,全地至高是我主,Fiona Hui,3:05,260,https://www.youtube.com/watch?v=9AsBFAfnUjM
match,同證主恩,5,20230416,20231029,ycl3KkFSe6U,同證主恩 sensorMusic (Demo)｜ 原創詩歌 粵語詩歌 詩歌敬拜,sensorMusic,3:45,107,https://www.youtube.com/watch?v=ycl3KkFSe6U
match,因祢榮耀,5,20230212,20260104,WCwTGlsfl5c,角聲使團 因祢榮耀,信•望•愛詩歌頻道 - Faith·Hope·Love Poetry Channel,4:03,103,https://www.youtube.com/watch?v=WCwTGlsfl5c
match,活出愛,5,20210912,20260301,xn0llwzGmTE,范瑋琪 + 蘇以樂 + 蘇以行 + 蔡語涵 + 蔡岳辰 - 活出愛 Love Life (官方歌詞版) - 『LOVE LIFE』公益主題曲,福茂唱片,3:25,115,https://www.youtube.com/watch?v=xn0llwzGmTE
match,祢的信實廣大,5,20210905,20251228,mbnRYggcPpw,祢的信實廣大｜會眾詩歌｜台北懷恩堂主日崇拜,Isaac Lam,4:17,107,https://www.youtube.com/watch?v=mbnRYggcPpw
match,稱謝復活主,5,20220417,20260412,zniTLYgOw34,稱謝復活主  普天頌讚新修訂版第273首,Penelope Chan,2:52,95,https://www.youtube.com/watch?v=zniTLYgOw34
match,稱頌上主,5,20210718,20250907,XfEgUshJAmg,【稱頌上主】,7davidpan,3:31,260,https://www.youtube.com/watch?v=XfEgUshJAmg
match,聖哉三一,5,20211121,20260104,pw5elBqhQMA,聖哉三一 Holy Holy Holy ｜生命聖詩5（國語）,傳統聖詩 Traditional Hymns,2:59,107,https://www.youtube.com/watch?v=pw5elBqhQMA
match,興起發光,5,20220116,20250126,WehSVicC2M8,興起發光,Release - Topic,4:49,260,https://www.youtube.com/watch?v=WehSVicC2M8
match,萬代君主,5,20220130,20241215,PZhCPVB0dp8,萬代君主,RainbowPromise,4:47,260,https://www.youtube.com/watch?v=PZhCPVB0dp8
match,阿爸天父,5,20210801,20231001,KE8X-sG64nk,【阿爸天父 Abba Father】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (13),讚美之泉 Stream Of Praise Music Ministries,6:08,115,https://www.youtube.com/watch?v=KE8X-sG64nk
match,除祢以外,5,20240107,20260510,a18vlQLgoCc,除祢以外,HKACM - Topic,4:09,268,https://www.youtube.com/watch?v=a18vlQLgoCc
match,以愛還愛,4,20221002,20250511,2tX58dM4n1s,以愛還愛,Release - Topic,3:56,260,https://www.youtube.com/watch?v=2tX58dM4n1s
match,何等恩典,4,20220911,20250914,u2M-zzt1Whc,【何等恩典 How Could It Be】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (14),讚美之泉 Stream Of Praise Music Ministries,4:48,115,https://www.youtube.com/watch?v=u2M-zzt1Whc
match,在主前靜默,4,20241006,20241027,5oTLWdZ6m58,[ 在主前靜默 Be still for the presence of the Lord ] - Cover ft. 簡愛 Christine Chien,內巷 | withinlane,3:54,95,https://www.youtube.com/watch?v=5oTLWdZ6m58
match,奉獻什麼,4,20220814,20241117,4qL_VVKRMMY,奉獻什麼,刘文良 - Topic,4:08,260,https://www.youtube.com/watch?v=4qL_VVKRMMY
match,從這代到那代,4,20211114,20241027,kNnZXzsNYPo,【從這代到那代 From Now till Evermore】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (19),讚美之泉 Stream Of Praise Music Ministries,5:31,115,https://www.youtube.com/watch?v=kNnZXzsNYPo
match,恩典之路,4,20220814,20260517,YaJ5gof0YNQ,【恩典之路 The Path of Grace】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (14),讚美之泉 Stream Of Praise Music Ministries,4:27,115,https://www.youtube.com/watch?v=YaJ5gof0YNQ
match,愛中相遇,4,20211010,20240804,Muq6RNaLjgU,【愛中相遇 See You Face to Face】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (19),讚美之泉 Stream Of Praise Music Ministries,5:05,115,https://www.youtube.com/watch?v=Muq6RNaLjgU
match,愛如繁星,4,20220731,20250413,QHxdGXUkCFQ,主愛如繁星 - 粵語詩歌 【官方歌詞版 MV】,Kennex in Jesus,4:32,115,https://www.youtube.com/watch?v=QHxdGXUkCFQ
match,愛有多少,4,20231105,20250406,SLnz3WWVAOA,【主愛有多少】動態歌詞版＊＊祢是我一切 ( 天韻與聖詩的頌讚 ) 天韻合唱團 Official MV,天韻合唱團 Heavenly Melody,4:25,115,https://www.youtube.com/watch?v=SLnz3WWVAOA
match,教會的主,4,20211024,20240428,Q8PtoXcgfMc,教會的主 [ 純音樂 cover | 歌詞 ],J A piano hymns,3:36,89,https://www.youtube.com/watch?v=Q8PtoXcgfMc
match,榮耀歸與祂,4,20220911,20260208,EpVDF3OAY68,榮耀歸與祂,Heaven,3:37,260,https://www.youtube.com/watch?v=EpVDF3OAY68
match,每一天,4,20220213,20250608,9VisPP2HLtc,每一天,Zonder's Music,3:06,235,https://www.youtube.com/watch?v=9VisPP2HLtc
match,獻上活祭,4,20230709,20250216,OcfKXc6pItA,天堂敬拜~獻上活祭（單曲）,GOOD TV DAILY,5:51,107,https://www.youtube.com/watch?v=OcfKXc6pItA
match,真神之愛,4,20220522,20260510,_8JkN8A5ukc,【真神之愛】The Love of God│《生命聖詩》 第41首│詞曲 : Frederick M. Lehman│鋼琴：gracehome251│頌唱：Teresa Huang,Teresa古今詩歌Hymns♬,3:18,107,https://www.youtube.com/watch?v=_8JkN8A5ukc
match,祂是耶和華,4,20210620,20260111,TVHWJcJN4xg,祂是耶和華,Tony Xu,2:46,260,https://www.youtube.com/watch?v=TVHWJcJN4xg
match,神坐著為王,4,20221030,20260118,e-oDTeztqyE,神坐著為王,如此我信後製音樂事工 | The HOPE Music Ministry ,4:04,260,https://www.youtube.com/watch?v=e-oDTeztqyE
match,祢是神,4,20220529,20250119,9cSuojDc4iw,你是神,全人敬拜 Holistic Worship,4:41,235,https://www.youtube.com/watch?v=9cSuojDc4iw
match,耶穌！耶穌！,4,20211205,20241208,kWvRXBLI0uk,"【耶穌 耶穌 Jesus, Jesus】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (10)",讚美之泉 Stream Of Praise Music Ministries,5:23,115,https://www.youtube.com/watch?v=kWvRXBLI0uk
match,萬邦之歌,4,20231105,20231126,rPidR2UgZHo,萬邦之歌,SCBC Choir・士嘉堡華人浸信會詩班・Toronto,3:00,260,https://www.youtube.com/watch?v=rPidR2UgZHo
match,衷心稱頌上主,4,20210926,20260301,zIxxulCf9hg,衷心稱頌上主 ( 粵語，練習版  ),elauwong2,2:59,95,https://www.youtube.com/watch?v=zIxxulCf9hg
match,遍地細說主奇妙,4,20220206,20260222,lnAPNXfE16Q,詩歌音樂分享:遍地細說主奇妙。,wah yeung,1:41,107,https://www.youtube.com/watch?v=lnAPNXfE16Q
