number,title,count,first_date,last_date,video_id,source,youtube_title,added_in_this_update
HYMN-001,人們需要主,50,20220123,20241117,b-749mZx8fU,內巷 | withinlane / YouTube,[ 人們需要主  ] 中文歌詞字幕,no
HYMN-002,賜福你,9,20211205,20220130,P0rEipirPzs,Tom Luk / YouTube,主賜福你 lyrics // ACM // full version,no
HYMN-003,感恩祭,7,20230402,20251130,IbU42dENe2M,Tom Wan / YouTube,感恩祭,no
HYMN-004,祢真偉大,7,20210822,20260315,V1LRpbz25SY,新心音樂事工 New Heart Music Ministries / YouTube,你真偉大,no
HYMN-005,耶和華永遠至高,7,20230212,20250921,7x7Ve4jBmHQ,維珍妮亞 / YouTube,耶和華永遠至高,no
HYMN-006,世界之光,6,20220123,20251109,zwdR8KM80nk,J.Praise青年音樂事工 / YouTube,世界之光,no
HYMN-007,傳揚祢大愛,6,20211107,20250727,rKZ5bx-kdZM,基恩敬拜 Amazing Grace Worship / YouTube,傳揚祢大愛 Proclaiming Your Magnificent Love,no
HYMN-008,成為神蹟的器皿,6,20210718,20250817,zYHUxoykI7w,生命河靈糧堂 / YouTube,成為神蹟的器皿,no
HYMN-009,我們成為一家人,6,20210926,20250330,axJlfLJGwQk,777Worship 完全的敬拜 | 敬拜中裡合一 | Unity in Worship / YouTube,我們成為一家人,no
HYMN-010,教會獨一的根基,6,20220522,20260412,9sxo44elABI,Teresa古今詩歌Hymns♬ / YouTube,【教會獨一的根基】The Church's One Foundation│詞：S. J. Stone│曲：S. S.Wesley│鋼琴：Julie Ann Kitchen│頌唱：Teresa H.,no
HYMN-011,榮耀的呼召,6,20230226,20251026,v5wnpajW6jo,讚美之泉 Stream Of Praise Music Ministries / YouTube,【榮耀的呼召 Glorious Calling】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (20),no
