list,number,title,videoId,viewCount,status,youtubeTitle,channel,url,error
"都會詩歌","HYMN-001","人們需要主","b-749mZx8fU","30119","kept","[ 人們需要主  ] 中文歌詞字幕","內巷 | withinlane","https://www.youtube.com/watch?v=b-749mZx8fU",""
"都會詩歌","HYMN-002","賜福你","P0rEipirPzs","2823","removed-under-threshold","主賜福你 lyrics // ACM // full version","Tom Luk","https://www.youtube.com/watch?v=P0rEipirPzs",""
"都會詩歌","HYMN-003","祢真偉大","V1LRpbz25SY","67659","kept","你真偉大","新心音乐事工 - Topic","https://www.youtube.com/watch?v=V1LRpbz25SY",""
"都會詩歌","HYMN-004","耶和華永遠至高","7x7Ve4jBmHQ","9016","kept","耶和華永遠至高","維珍妮亞","https://www.youtube.com/watch?v=7x7Ve4jBmHQ",""
"都會詩歌","HYMN-005","世界之光","zwdR8KM80nk","218","removed-under-threshold","世界之光","J.Praise青年音樂事工","https://www.youtube.com/watch?v=zwdR8KM80nk",""
"都會詩歌","HYMN-006","傳揚祢大愛","rKZ5bx-kdZM","16127","kept","傳揚祢大愛 Proclaiming Your Magnificent Love","基恩敬拜 Amazing Grace Worship - Topic","https://www.youtube.com/watch?v=rKZ5bx-kdZM",""
"都會詩歌","HYMN-007","成為神蹟的器皿","zYHUxoykI7w","111143","kept","成為神蹟的器皿","River of Life Christian Church - Topic","https://www.youtube.com/watch?v=zYHUxoykI7w",""
"都會詩歌","HYMN-008","我們成為一家人","axJlfLJGwQk","1216810","kept","我們成為一家人","777Worship 完全的敬拜 | 敬拜中裡合一 | Unity in Worship","https://www.youtube.com/watch?v=axJlfLJGwQk",""
"都會詩歌","HYMN-009","教會獨一的根基","9sxo44elABI","5884","kept","【教會獨一的根基】The Church's One Foundation│詞：S. J. Stone│曲：S. S.Wesley│鋼琴：Julie Ann Kitchen│頌唱：Teresa H.","Teresa古今詩歌Hymns♬","https://www.youtube.com/watch?v=9sxo44elABI",""
"都會詩歌","HYMN-010","榮耀的呼召","v5wnpajW6jo","1112792","kept","【榮耀的呼召 Glorious Calling】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (20)","讚美之泉 Stream Of Praise Music Ministries","https://www.youtube.com/watch?v=v5wnpajW6jo",""
