list,path,number,title,videoId,viewCount,viewCheckedAt,status,category,source
Hymns,hymns.json,HYMN-001,我們成為一家人,axJlfLJGwQk,1216810,2026-05-26,kept,詩歌,777Worship 完全的敬拜 | 敬拜中裡合一 | Unity in Worship / YouTube
Hymns,hymns.json,HYMN-002,求祢以真理和愛引導我,vTG-LQPFtRg,82518,2026-05-26,removed-under-500k,詩歌,More of Jesus Worship (更多有耶穌的敬拜) / YouTube
Hymns,hymns.json,HYMN-003,愛如繁星,QHxdGXUkCFQ,1393932,2026-05-26,kept,詩歌,Kennex in Jesus / YouTube
Hymns,hymns.json,HYMN-004,每一天,9VisPP2HLtc,52230,2026-05-26,removed-under-500k,詩歌,Zonder's Music / YouTube
Hymns,hymns.json,HYMN-005,以感恩為祭,ozRtnVOvYvM,688255,2026-05-26,kept,詩歌,m2kmusic / YouTube
Hymns,hymns.json,HYMN-006,以馬內利,gB3vpIAYhIM,729792,2026-05-26,kept,詩歌,777Worship 完全的敬拜 | 敬拜中裡合一 | Unity in Worship / YouTube
Hymns,hymns.json,HYMN-007,傳承使命,Iz477EjWNX4,175732,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-008,我願為祢去,KgnklCi-k-Q,61514,2026-05-26,removed-under-500k,詩歌,CantonHymn恢復粵語詩歌敬拜文化運動 / YouTube
Hymns,hymns.json,HYMN-009,有祢同行,2KM6F_vQSD0,3578882,2026-05-26,kept,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-010,耶穌配得至聖尊榮,YE34QiLu1sg,106537,2026-05-26,removed-under-500k,詩歌,Jennifer Poon / YouTube
Hymns,hymns.json,HYMN-011,薪火永傳,gdjd5T78rBc,131598,2026-05-26,removed-under-500k,詩歌,m2kmusic / YouTube
Hymns,hymns.json,HYMN-012,仍然相信祢,VzmM9I0KqUM,278166,2026-05-26,removed-under-500k,詩歌,HKACM Official 香港基督徒音樂事工協會 / YouTube
Hymns,hymns.json,HYMN-013,信心的等待,0mn6wvX1l18,3650801,2026-05-26,kept,詩歌,基恩敬拜 Amazing Grace Worship / YouTube
Hymns,hymns.json,HYMN-014,全能父上帝,XgisFdhTr74,57856,2026-05-26,removed-under-500k,詩歌,讚美的時刻 / YouTube
Hymns,hymns.json,HYMN-015,十架的冠冕,Pz10IS-TCmg,1629304,2026-05-26,kept,詩歌,1Gmusic / YouTube
Hymns,hymns.json,HYMN-016,向至高者讚美,Hx1lMCJ-d-Q,118719,2026-05-26,removed-under-500k,詩歌,Jennifer Poon / YouTube
